open,close,high,low,vol,amount,date,code,volume
218.97,216.91,223.05,212.86,47260.0,1027423808.0,2025-01-02,688018,47260.0
220.33,208.55,223.0,204.7,53499.0,1127735296.0,2025-01-03,688018,53499.0
208.21,201.25,209.99,196.6,53311.0,1083481216.0,2025-01-06,688018,53311.0
202.0,209.85,211.99,195.6,58630.0,1208893568.0,2025-01-07,688018,58630.0
205.0,214.0,218.88,203.0,63013.0,1336021760.0,2025-01-08,688018,63013.0
215.96,221.37,232.87,214.81,71088.0,1601087360.0,2025-01-09,688018,71088.0
223.0,218.7,233.6,218.22,54304.0,1223898368.0,2025-01-10,688018,54304.0
210.0,210.59,217.39,205.5,48005.0,1010917952.0,2025-01-13,688018,48005.0
213.68,229.0,229.8,207.0,55515.0,1222943232.0,2025-01-14,688018,55515.0
227.0,236.1,246.0,225.03,61318.0,1456286080.0,2025-01-15,688018,61318.0
231.58,220.51,233.69,217.11,66562.0,1494599424.0,2025-01-16,688018,66562.0
218.38,245.83,254.57,218.0,70951.0,1661380480.0,2025-01-17,688018,70951.0
244.97,244.87,252.0,239.0,51321.0,1253892864.0,2025-01-20,688018,51321.0
254.0,279.0,290.0,252.26,83128.0,2213239808.0,2025-01-21,688018,83128.0
267.6,287.0,288.88,267.6,54936.0,1507009792.0,2025-01-22,688018,54936.0
285.0,269.5,288.98,267.0,66856.0,1844349568.0,2025-01-23,688018,66856.0
266.95,274.6,279.0,266.18,42574.0,1162511232.0,2025-01-24,688018,42574.0
280.0,270.24,288.5,268.97,52463.0,1462798336.0,2025-01-27,688018,52463.0
275.64,249.21,276.0,247.85,74979.0,1941978624.0,2025-02-05,688018,74979.0
246.0,265.0,268.78,245.82,59917.0,1567427456.0,2025-02-06,688018,59917.0
260.0,256.56,267.39,252.0,64400.0,1669186688.0,2025-02-07,688018,64400.0
250.01,257.01,262.0,246.33,59445.0,1507286656.0,2025-02-10,688018,59445.0
256.0,258.98,260.9,250.1,45181.0,1158659456.0,2025-02-11,688018,45181.0
253.8,261.4,268.9,249.0,57871.0,1491734912.0,2025-02-12,688018,57871.0
255.0,229.2,257.0,228.08,98705.0,2356642304.0,2025-02-13,688018,98705.0
227.62,230.64,231.24,225.0,46758.0,1066700736.0,2025-02-14,688018,46758.0
228.5,234.33,235.19,218.0,46381.0,1069847104.0,2025-02-17,688018,46381.0
230.11,228.08,234.98,226.81,32959.0,759479360.0,2025-02-18,688018,32959.0
226.98,236.8,238.0,226.98,42723.0,1001040576.0,2025-02-19,688018,42723.0
240.0,237.5,243.2,231.51,42962.0,1021505920.0,2025-02-20,688018,42962.0
233.19,239.22,243.98,233.1,47238.0,1127947008.0,2025-02-21,688018,47238.0
235.1,229.45,239.66,227.0,53126.0,1226799488.0,2025-02-24,688018,53126.0
223.0,231.33,238.98,222.0,51144.0,1179821312.0,2025-02-25,688018,51144.0
233.58,235.01,242.79,228.0,42987.0,1013706752.0,2025-02-26,688018,42987.0
232.66,232.26,238.97,227.18,37974.0,882209664.0,2025-02-27,688018,37974.0
231.7,218.98,232.5,217.0,40026.0,898684288.0,2025-02-28,688018,40026.0
223.14,213.41,224.83,210.1,40880.0,882412096.0,2025-03-03,688018,40880.0
211.33,229.4,233.66,208.0,63679.0,1429108352.0,2025-03-04,688018,63679.0
232.04,234.01,244.35,231.0,60794.0,1436241920.0,2025-03-05,688018,60794.0
237.88,242.74,246.0,232.02,73983.0,1766825472.0,2025-03-06,688018,73983.0
242.86,231.5,242.86,230.11,43916.0,1028015872.0,2025-03-07,688018,43916.0
