date,open,high,low,close,volume
2025-12-05,31.11,31.58,30.9,31.54,72816.0
2025-12-08,31.69,32.18,31.66,31.67,105178.0
2025-12-09,31.53,32.65,31.2,32.22,136550.0
2025-12-10,32.2,32.48,31.86,32.31,98338.0
2025-12-11,32.31,33.22,32.1,32.75,142735.0
2025-12-12,32.7,33.35,32.58,32.96,165008.0
2025-12-15,32.93,33.83,32.58,33.7,178052.0
2025-12-16,33.68,33.69,32.94,33.04,138547.0
2025-12-17,32.75,33.2,32.32,32.83,112541.0
2025-12-18,33.1,34.09,32.88,33.77,176848.0
2025-12-19,34.21,35.59,34.15,34.66,234260.0
2025-12-22,35.32,35.32,34.15,34.39,151208.0
2025-12-23,34.37,34.75,33.66,33.81,129701.0
2025-12-24,33.63,35.55,33.55,35.33,219094.0
2025-12-25,35.2,35.9,35.02,35.8,194241.0
2025-12-26,35.8,38.45,35.7,36.59,409702.0
2025-12-29,37.95,39.69,37.73,38.78,501421.0
2025-12-30,39.8,40.48,38.63,38.79,611367.0
2025-12-31,38.74,41.56,38.61,40.8,604881.0
2026-01-05,42.43,42.8,40.78,41.58,512816.0
2026-01-06,41.1,41.46,39.64,41.02,451661.0
2026-01-07,40.89,40.97,39.73,40.16,296830.0
2026-01-08,40.05,43.3,40.0,41.89,442192.0
2026-01-09,42.37,43.13,41.2,42.26,432561.0
2026-01-12,43.44,44.91,42.38,44.6,510720.0
2026-01-13,43.73,43.73,41.01,41.12,393082.0
2026-01-14,41.12,43.14,40.74,41.52,350659.0
2026-01-15,41.18,41.67,40.02,41.25,219576.0
2026-01-16,42.19,47.88,42.19,45.55,489934.0
2026-01-19,47.01,48.22,45.1,45.29,374698.0
2026-01-20,44.69,45.56,43.14,43.88,283384.0
2026-01-21,43.43,44.23,43.01,43.52,233916.0
2026-01-22,43.55,47.86,43.44,46.8,421059.0
2026-01-23,46.4,47.7,45.28,47.2,365520.0
2026-01-26,48.0,48.15,45.48,45.52,345134.0
2026-01-27,45.9,49.08,45.44,47.72,371923.0
2026-01-28,47.5,47.88,45.22,45.45,317788.0
2026-01-29,44.69,46.17,44.3,44.32,223876.0
2026-01-30,43.99,44.85,42.48,44.34,215780.0
2026-02-02,44.2,45.0,43.35,43.35,165067.0
2026-02-03,43.72,45.28,43.56,44.95,187360.0
2026-02-04,44.5,44.77,43.0,43.46,188196.0
2026-02-05,42.9,44.89,42.78,43.7,141712.0
2026-02-06,43.25,44.14,42.8,42.8,132564.0
2026-02-09,43.58,43.95,42.48,42.63,142658.0
2026-02-10,42.52,42.79,41.68,41.93,136069.0
2026-02-11,41.8,42.98,41.63,41.71,117439.0
2026-02-12,42.4,42.67,41.8,42.07,100876.0
2026-02-13,42.0,42.55,41.65,41.73,99901.0
2026-02-24,42.28,42.45,41.54,41.59,110606.0
2026-02-25,41.72,42.67,41.45,42.3,144247.0
2026-02-26,42.39,43.85,42.06,43.39,184360.0
2026-02-27,43.19,45.44,43.1,44.92,244907.0
2026-03-02,44.92,45.66,43.85,44.34,213211.0
2026-03-03,44.33,44.6,40.17,40.27,265097.0
2026-03-04,39.75,41.28,39.68,40.44,128799.0
2026-03-05,41.27,41.58,40.33,40.9,107167.0
2026-03-06,40.54,42.29,40.5,41.4,128019.0
2026-03-09,40.86,40.86,39.28,40.56,135721.0
2026-03-10,41.21,41.78,40.81,41.18,93325.0
2026-03-11,41.35,42.79,40.58,41.8,196844.0
2026-03-12,43.4,45.3,43.06,43.42,353767.0
2026-03-13,42.58,42.58,40.33,40.39,247664.0
2026-03-16,40.29,41.45,39.6,40.18,133222.0
2026-03-17,40.31,42.78,40.1,41.62,243367.0
2026-03-18,40.61,40.7,39.3,40.13,180188.0
2026-03-19,39.5,39.5,37.7,37.75,161750.0
2026-03-20,37.99,38.2,36.51,36.54,114445.0
2026-03-23,35.5,36.08,34.18,34.42,144107.0
2026-03-24,35.11,35.36,34.23,35.22,115720.0
2026-03-25,35.46,36.07,35.35,35.63,98246.0
2026-03-26,35.73,35.89,34.68,34.95,78395.0
2026-03-27,34.45,35.55,34.3,35.51,62315.0
2026-03-30,34.96,35.73,34.64,35.58,73164.0
